Country Name,Country Code,Year,GDP($),Solar Capacity (GW),Wind Capacity (GWp),Electricity from solar (TWh),Electricity from solar (GWh),Electricity from wind (TWh),Electricity from wind (GWh),Solar (% electricity),Wind (% electricity),solar energy capacity factor,wind energy capacity factor
Philippines,PHL,2003,1027.2301192843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Poland,POL,2003,5720.81366178104,0.0,0.035,0.0,0.0,0.12,120.0,0.0,0.07999467,,39.138943248532286
Portugal,PRT,2003,15797.7821340276,0.002,0.268,0.0,0.0,0.5,500.0,0.0,1.0748066,0.0,21.297621481632927
Romania,ROU,2003,2679.40626016154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Russian Federation,RUS,2003,2975.123046875,0.0,0.009,0.0,0.0,0.01,10.0,0.0,0.0011510527,,12.683916793505837
South Africa,ZAF,2003,4062.21755993786,0.0,0.00316,0.02,20.0,0.01,10.0,0.0091642225,0.0045821113,inf,36.12507947517485
Spain,ESP,2003,21522.0170990262,0.022,5.945,0.02,20.0,12.07,12070.0,0.0077730278,4.6910224,10.377750103777501,23.176684294004016
Sweden,SWE,2003,37292.4214343004,0.004,0.417,0.0,0.0,0.68,680.0,0.0,0.50225276,0.0,18.615244790468996
Thailand,THA,2003,2347.54001286066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Turkiye,TUR,2003,4637.88218501529,0.001,0.019,0.0,0.0,0.06,60.0,0.0,0.043004587,0.0,36.04902667627974
Ukraine,UKR,2003,1076.48156738281,0.0,0.0544,0.0,0.0,0.03,30.0,0.0,0.01664817,,6.2953263497179694
United Kingdom,GBR,2003,34442.6875402308,0.006,0.742,0.0,0.0,1.29,1290.0,0.0,0.3262024,0.0,19.846398109515192
United States,USA,2003,39490.3023903176,0.293,5.995,0.53,530.0,11.19,11190.0,0.013698841,0.2892265,20.64924338055387,21.307710763535823
Argentina,ARG,2004,4242.02099089422,2.6e-05,0.027829,0.0,0.0,0.07,70.0,0.0,0.073152885,0.0,28.714174350169518
Australia,AUS,2004,30836.7306824685,0.046,0.379,0.07,70.0,0.7,700.0,0.031380285,0.31380284,17.371451260671037,21.084083324297296
Austria,AUT,2004,36614.2506533707,0.027,0.581,0.02,20.0,0.93,930.0,0.032294527,1.5016955,8.45594452900389,18.272699408200317
Belgium,BEL,2004,35429.4077933344,0.001,0.096,0.0,0.0,0.14,140.0,0.0,0.16883744,0.0,16.647640791476405
Brazil,BRA,2004,3663.823188064,0.000718,0.024,0.0,0.0,0.06,60.0,0.0,0.015741007,0.0,28.538812785388128
Bulgaria,BGR,2004,3389.68743360274,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Canada,CAN,2004,32145.5412620217,0.014,0.444,0.01,10.0,0.95,950.0,0.0017170035,0.16311534,8.153946510110893,24.425110041548397
