location,year,total_energy_supply
FIN,2009,24.06
FIN,2010,25.51
FIN,2011,25.95
FIN,2012,29.4
FIN,2013,29.79
FIN,2014,29.92
FIN,2015,32.26
FRA,1960,4.44
FRA,1961,4.04
FRA,1962,3.5
FRA,1963,3.93
FRA,1964,2.95
FRA,1965,3.84
FRA,1966,4.2
FRA,1967,3.43
FRA,1968,3.62
FRA,1969,3.51
FRA,1970,9.31
FRA,1971,8.62
FRA,1972,8.23
FRA,1973,7.74
FRA,1974,7.87
FRA,1975,8.73
FRA,1976,7.39
FRA,1977,9.0
FRA,1978,8.22
FRA,1979,7.95
FRA,1980,7.66
FRA,1981,7.8
FRA,1982,8.02
FRA,1983,8.26
FRA,1984,7.91
FRA,1985,7.98
FRA,1986,7.76
FRA,1987,8.16
FRA,1988,8.1
FRA,1989,6.54
FRA,1990,6.8
FRA,1991,7.24
FRA,1992,7.66
FRA,1993,7.21
FRA,1994,7.57
FRA,1995,7.19
FRA,1996,6.88
FRA,1997,6.66
FRA,1998,6.41
FRA,1999,6.62
FRA,2000,6.25
FRA,2001,6.37
FRA,2002,5.75
FRA,2003,5.81
FRA,2004,5.83
FRA,2005,5.78
FRA,2006,5.74
FRA,2007,6.28
FRA,2008,7.03
FRA,2009,7.4
FRA,2010,7.96
FRA,2011,7.12
FRA,2012,8.18
FRA,2013,9.04
FRA,2014,8.78
FRA,2015,8.76
DEU,1960,0.73
DEU,1961,0.7
DEU,1962,0.62
DEU,1963,0.56
DEU,1964,0.54
DEU,1965,0.68
DEU,1966,0.74
DEU,1967,0.72
DEU,1968,0.68
DEU,1969,0.52
DEU,1970,1.34
DEU,1971,1.21
DEU,1972,1.21
DEU,1973,1.14
DEU,1974,1.34
DEU,1975,1.37
DEU,1976,1.21
DEU,1977,1.31
DEU,1978,1.3
DEU,1979,1.24
DEU,1980,1.51
DEU,1981,1.67
DEU,1982,1.82
DEU,1983,1.79
DEU,1984,1.81
DEU,1985,1.75
DEU,1986,1.52
DEU,1987,1.49
DEU,1988,1.57
DEU,1989,1.51
DEU,1990,1.51
DEU,1991,1.47
DEU,1992,1.59
DEU,1993,1.64
DEU,1994,1.74
DEU,1995,1.78
DEU,1996,1.77
DEU,1997,2.07
DEU,1998,2.24
DEU,1999,2.38
DEU,2000,2.67
DEU,2001,2.78
DEU,2002,3.18
DEU,2003,3.78
DEU,2004,4.3
DEU,2005,5.11
DEU,2006,5.94
DEU,2007,7.24
DEU,2008,7.04
DEU,2009,7.89
DEU,2010,8.43
DEU,2011,9.43
DEU,2012,10.34
DEU,2013,10.51
DEU,2014,11.57
DEU,2015,12.49
GRC,1960,1.66
GRC,1961,1.84
GRC,1962,1.88
GRC,1963,2.34
GRC,1964,1.84
GRC,1965,1.68
GRC,1966,3.16
GRC,1967,2.71
GRC,1968,2.06
GRC,1969,2.78
GRC,1970,8.82
GRC,1971,7.8
GRC,1972,6.74
GRC,1973,5.43
GRC,1974,5.79
GRC,1975,5.31
GRC,1976,4.8
GRC,1977,4.5
GRC,1978,4.91
GRC,1979,4.96
GRC,1980,4.96
GRC,1981,5.07
GRC,1982,5.02
GRC,1983,4.14
GRC,1984,4.26
GRC,1985,3.94
GRC,1986,4.36
GRC,1987,4.12
GRC,1988,3.68
GRC,1989,3.21
GRC,1990,5.15
GRC,1991,5.69
GRC,1992,5.24
GRC,1993,5.39
GRC,1994,5.35
GRC,1995,5.68
GRC,1996,5.87
GRC,1997,5.51
GRC,1998,5.19
GRC,1999,5.52
GRC,2000,5.18
GRC,2001,4.71
GRC,2002,4.92
GRC,2003,5.28
GRC,2004,5.29
GRC,2005,5.43
GRC,2006,5.9
GRC,2007,5.72
GRC,2008,5.62
GRC,2009,6.34
GRC,2010,7.72
GRC,2011,8.0
GRC,2012,9.22
GRC,2013,11.21
GRC,2014,10.57
GRC,2015,11.29
HUN,1960,
HUN,1961,
HUN,1962,
HUN,1963,
HUN,1964,
HUN,1965,4.46
HUN,1966,3.92
HUN,1967,3.88
HUN,1968,3.22
HUN,1969,4.03
HUN,1970,2.79
HUN,1971,2.89
HUN,1972,2.86
HUN,1973,3.05
HUN,1974,2.86
HUN,1975,2.09
HUN,1976,2.27
HUN,1977,2.0
HUN,1978,1.69
HUN,1979,1.98
HUN,1980,1.85
HUN,1981,2.06
HUN,1982,1.99
HUN,1983,2.02
HUN,1984,2.37
HUN,1985,2.02
HUN,1986,1.76
HUN,1987,1.72
HUN,1988,1.51
HUN,1989,1.66
HUN,1990,2.59
HUN,1991,2.9
HUN,1992,3.17
HUN,1993,3.18
HUN,1994,3.29
HUN,1995,3.36
HUN,1996,3.23
HUN,1997,3.23
HUN,1998,3.25
HUN,1999,3.31
HUN,2000,3.32
HUN,2001,3.39
HUN,2002,3.43
HUN,2003,3.47
HUN,2004,3.64
HUN,2005,4.32
HUN,2006,4.51
HUN,2007,5.11
HUN,2008,6.01
HUN,2009,7.39
HUN,2010,7.61
HUN,2011,7.57
HUN,2012,7.59
HUN,2013,8.22
HUN,2014,8.45
HUN,2015,8.04
ISL,1960,27.87
ISL,1961,30.24
ISL,1962,30.78
ISL,1963,30.29
ISL,1964,31.83
ISL,1965,30.41
ISL,1966,31.24
ISL,1967,33.76
ISL,1968,34.48
ISL,1969,42.96
ISL,1970,45.65
ISL,1971,46.87
ISL,1972,49.82
ISL,1973,48.39
ISL,1974,48.06
ISL,1975,52.34
ISL,1976,54.92
ISL,1977,54.45
ISL,1978,55.55
ISL,1979,57.45
ISL,1980,60.4
ISL,1981,66.18
ISL,1982,70.19
ISL,1983,71.54
ISL,1984,69.35
ISL,1985,70.73
ISL,1986,68.99
ISL,1987,68.13
ISL,1988,69.68
ISL,1989,69.84
ISL,1990,71.36
ISL,1991,72.16
ISL,1992,70.24
ISL,1993,69.93
ISL,1994,69.99
ISL,1995,70.69
ISL,1996,69.24
ISL,1997,70.23
ISL,1998,71.95
ISL,1999,75.51
ISL,2000,77.36
ISL,2001,77.09
ISL,2002,76.89
ISL,2003,77.1
ISL,2004,75.88
ISL,2005,76.31
ISL,2006,80.26
ISL,2007,83.78
ISL,2008,86.8
ISL,2009,87.82
ISL,2010,88.47
ISL,2011,89.75
ISL,2012,89.67
ISL,2013,89.6
ISL,2014,89.07
ISL,2015,88.48
IRL,1960,2.15
IRL,1961,1.61
IRL,1962,1.41
IRL,1963,1.36
IRL,1964,1.55
IRL,1965,1.86
IRL,1966,1.56
IRL,1967,1.34
IRL,1968,1.21
IRL,1969,0.87
IRL,1970,1.15
IRL,1971,0.6
IRL,1972,0.88
IRL,1973,0.8
IRL,1974,0.95
IRL,1975,0.67
IRL,1976,0.75
IRL,1977,0.89
IRL,1978,0.83
IRL,1979,0.83
IRL,1980,0.88
IRL,1981,0.9
IRL,1982,0.84
IRL,1983,0.82
IRL,1984,0.71
IRL,1985,0.83
IRL,1986,0.89
IRL,1987,0.63
IRL,1988,0.82
IRL,1989,0.64
IRL,1990,1.69
IRL,1991,1.68
IRL,1992,1.64
IRL,1993,1.6
IRL,1994,1.65
IRL,1995,1.45
IRL,1996,1.48
IRL,1997,1.51
IRL,1998,1.82
IRL,1999,1.67
IRL,2000,1.7
IRL,2001,1.63
IRL,2002,1.81
IRL,2003,1.67
IRL,2004,1.95
IRL,2005,2.51
IRL,2006,2.89
IRL,2007,3.18
IRL,2008,3.89
IRL,2009,4.64
IRL,2010,4.61
IRL,2011,5.85
IRL,2012,5.94
IRL,2013,6.46
IRL,2014,7.53
IRL,2015,8.11
ITA,1960,14.42
ITA,1961,12.35
ITA,1962,10.48
ITA,1963,10.5
ITA,1964,8.75
ITA,1965,8.57
ITA,1966,8.01
ITA,1967,7.17
ITA,1968,6.62
ITA,1969,6.03
ITA,1970,5.61
ITA,1971,5.57
ITA,1972,5.4
ITA,1973,4.7
ITA,1974,5.43
ITA,1975,5.8
ITA,1976,5.22
ITA,1977,6.06
ITA,1978,5.45
ITA,1979,5.28
ITA,1980,5.43
ITA,1981,5.45
ITA,1982,5.5
ITA,1983,5.5
ITA,1984,5.57
ITA,1985,5.2
ITA,1986,5.34
ITA,1987,5.12
ITA,1988,5.17
ITA,1989,4.62
ITA,1990,4.42
ITA,1991,5.0
ITA,1992,5.31
ITA,1993,5.37
ITA,1994,5.63
ITA,1995,4.85
ITA,1996,5.25
ITA,1997,5.37
ITA,1998,5.46
ITA,1999,5.81
ITA,2000,5.9
ITA,2001,6.01
ITA,2002,6.28
ITA,2003,7.11
ITA,2004,7.09
ITA,2005,7.57
ITA,2006,8.3
ITA,2007,9.21
ITA,2008,10.85
ITA,2009,12.4
ITA,2010,12.59
ITA,2011,12.52
ITA,2012,14.8
ITA,2013,16.97
ITA,2014,18.06
ITA,2015,17.47
JPN,1960,6.22
JPN,1961,6.4
JPN,1962,5.58
JPN,1963,5.39
JPN,1964,4.8
JPN,1965,4.86
